这张图片展示了一份关于中国医疗AI行业发展的研究报告，具体内容如下：

1. **标题**：页面顶部有标题“1.3.3 行业发展驱动因素分析——需求端”。

2. **主要内容**：
   - **医疗AI助力缓解我国医疗资源分布不均、高水平医师总量不足等问题**：
     - **现状描述**：我国医疗资源分布不均，优质医疗资源过度集中。基层医疗机构存在基础设施相对缺乏、医生能力相对不足等问题。根据国家卫健委数据，2020年我国医院共计3.54万个，占全国医疗机构总数的35.5%，而医院诊疗人次33.2亿，承担了全国42.9%的诊疗人次；基层医疗卫生机构共计97.01万个，数量上占据绝对优势，但仅承担了全国53.2%的诊疗人次。
     - **医疗AI的作用**：医疗AI可以通过辅助诊疗等方式赋能基层医疗机构，推动优质医疗资源下沉，缓解看病难、看病贵问题。

3. **图表**：
   - **左图**：展示了2020年我国医疗机构数量及诊疗人次。其中，医院数量为3.54万个，基层医疗卫生机构数量为97.01万个，诊疗人次为33.2亿。
   - **右图**：展示了2015-2020年全国卫生技术人员数（单位：万人）。从2015年的172.7万人增长到2020年的470.9万人。

4. **文字描述**：
   - **医疗AI助力提升医疗资源利用效率**：能够有效弥补我国高水平医师短缺问题。国家卫健委数据显示，截至2020年底，我国共有执业（助理）医师408.6万人，平均每千人口执业（助理）医师2.90人，与发达国家相比仍存在一定差距。全科医生方面，按照我国规划到2030年每1万人拥有全科医生5人，目前缺口高达70万人。利用机器学习等AI技术，能够帮助快速识别病灶，迅速训练模型，提升诊疗效率及准确率，弥补医生数量缺口。

5. **来源**：数据来源于国家卫健委和36氪研究院。

这张PPT详细分析了我国医疗资源分布不均和高水平医师总量不足的问题，并强调了医疗AI在解决这些问题上的重要作用。
