这张图片来自于沙利文（Frost & Sullivan）和头豹（LeadLeo）联合发布的《2024年中国医疗大健康产业发展白皮书》。图片主要分为三个部分，分别展示了宏观经济数据、工业经济数据以及卫生总费用及其占GDP比重。

1. **宏观经济数据**：
   - 图表展示了2022年第一季度到2023年第四季度中国实际GDP和CPI同比变化率。
   - 实际GDP在2022年第一季度为4.8%，到2023年第四季度为5.2%。
   - CPI在2022年第一季度为1.1%，到2023年第四季度为-0.3%。

2. **工业经济数据**：
   - 图表展示了2022年第一季度到2023年第四季度规模以上工业企业实现营收与利润总额同比变化率。
   - 营业收入在2022年第一季度为13.8%，到2023年第四季度为5.3%。
   - 利润在2022年第一季度为7.1%，到2023年第四季度为-1.7%。

3. **卫生总费用及其占GDP比重**：
   - 图表展示了2015年至2023年中国卫生总费用及其占GDP比重。
   - 卫生总费用从2015年的4.1万亿元增长到2023年的9.1万亿元。
   - 占GDP比重从2015年的5.9%增长到2023年的7.3%。

此外，图片中还包含了一些文字说明，解释了中国整体经济增速符合预期，社会消费需求有待进一步提振，工业经济稳步回升。同时，还提到中国整体医疗支出及占GDP比重持续增加，强调了“民生”和“科技”属性对行业长期发展的基本保障。
