这是一张关于“Global Materials Perspective 2024”的图片，标题为“Key insights from our analysis”。图片中列出了三个关键见解，编号为8、9和10。每个见解都有相应的图标和描述。

1. **见解8**：
   - 标题：加速可持续供应的规模扩大需要增加合作和降低投资风险。
   - 描述：在长期需求模式和政策转变的不确定性增加的环境下，需要各种形式的合作和降低风险的努力来支持长期项目和竞争力。这些努力可能包括客户和供应商之间的长期协议和供应合同，增加基础设施支持，以及同行之间的合作以扩大生产规模，提高行政效率，并增加对高质量项目的探索计划，从而实现到2050年需求的持续增长。

2. **见解9**：
   - 标题：成本和资本支出效率将成为确保长期可负担性和竞争力的关键。
   - 描述：随着竞争的加剧和矿石质量的恶化，加上长期需求模式的不确定性，需要持续关注成本和资本支出效率，以确保项目在经济上可行。例如，过去十年的平均项目成本超支超过30%，接近初始预算估计，这已经创造了显著的价值，并加强了投资者的商业案例，从而激励了持续的供应扩大。

3. **见解10**：
   - 标题：逐步的脱碳、大规模创新和监管清晰度对于加速减排至关重要。
   - 描述：对于棕色到绿色的转型，利益相关者可以考虑逐步进行，关注成本效益杠杆，可能结合大规模平衡产品，专注于那些具有最高支付意愿的子行业，并将部分收入用于大规模脱碳计划。对于绿地投资，利益相关者可以增加创新努力，并得到公共创新资金的支持，如欧盟创新基金，建立伙伴关系以降低业务风险，如与客户和设备供应商的承诺。最后，监管机构可以定义低碳材料的排放阈值，并协调碳税法规，以创造一个公平的竞争环境，如欧盟的碳边境调整机制。

图片底部有“Global Materials Perspective 2024”的标识，表明这是该报告的一部分。
