这是一张关于中国患者援助政策摘要的图片，内容分为慈善事业层面和药品管理层面两部分。

1. **慈善事业层面**：
   - 2007年，全国人大通过《中华人民共和国企业所得税法》，规定企业为慈善公益事业捐赠，在企业所得税12%以内可以享受免税待遇。
   - 2014年，国务院办公厅发布《关于促进慈善事业健康发展的指导意见》，这是我国国家层面第一个专门规范慈善事业的政策文件。
   - 2016年，中华人民共和国第43号主席令出台《中华人民共和国慈善法》，对慈善活动的规范、问责、志愿者合法权益的保护、公募筹款平台服务管理及慈善信托等做了详细规定。
   - 2017年，民政部出台《关于大力培育发展社区社会组织意见》，并于2021年印发《培育发展社区社会组织专项行动方案（2021-2023年）》。
   - 2018年，国务院办公厅和民政部连发《关于推进社会公益事业建设领域政府信息公开的意见》、《慈善组织信息公开办法》、《民政部办公厅关于加强慈善医疗救助活动监管的通知》等系列政策。

2. **药品管理层面**：
   - 1985年，全国人大通过《中华人民共和国药品管理法》，以药品监督管理为中心，围绕药品生产经营管理、药品评审与质量检验、药品使用安全监督管理、药品稽查管理、药品集中招标采购管理等多个角度做出原则性要求。
   - 2000年，原国家药品监督管理局发布《药品经营质量管理规范》，对药品批发及零售企业的经营范围、经营方式做出明确要求。
   - 2007年，原国家食品药品监督管理局发布《药品流通监督管理办法》，要求加强药品监督管理，规范药品流通秩序，保证药品质量。
   - 2015年，由财政部、海关总署、国家税务总局共同制定推出《慈善捐赠物资免征进口税收暂行办法》，该办法规定当境外捐赠人无偿向受赠人捐赠直接用于慈善事业的物资时，受赠人可向当地海关申请免征境外捐赠人进口关税和进口环节增值税。
   - 2016年，四部门共同组织制定《捐赠药品进口管理规定》，从操作层面对捐赠药品的进口管理工作做出较为细致地规定。
   - 2016年，国务院办公厅发布《“健康中国2030”规划纲要》，并于2019年发布《健康中国行动（2019—2030年）》。

图片右上角有“中国患者援助年鉴|附录一：政策摘要”字样，右下角有页码“34”。
