这是一张关于中国互联网医院服务生态及运营模式的图片。图片中包含以下内容：

1. **标题**：图片顶部有标题“互联网医院服务生态及运营模式”。

2. **文本描述**：图片中有一段文字，描述了互联网医院的服务生态，主要分为四类：远程诊疗、远程诊断、院后管理及健康管理。具体内容提到，互联网医院通过在线预约、咨询、问诊、开方、支付、配送及健康管理，形成线上医疗服务闭环。

3. **服务生态图**：图片中间部分是一个圆形的服务生态图，展示了互联网医院服务的各个环节。图中有多个图标，代表不同的服务环节，包括：
   - 健康人群
   - 患者人群
   - 医疗支付
   - 药店/流通企业
   - 医生
   - 检查化验
   - 分级诊疗
   - 在线预约、咨询
   - 在线视频诊疗
   - 远程诊疗
   - 远程诊断
   - 院后管理
   - 健康管理

4. **服务分类**：在服务生态图的周围，有四个分类，每个分类都有相应的图标和文字说明：
   - **健康管理**：包括家庭医生服务、医养结合、健康教育。
   - **院后管理**：包括患者跟踪、复诊续方、患者依从性教育、康复训练。
   - **远程诊疗**：包括远程问诊、远程会诊、远程慢病管理、教育科研。
   - **远程诊断**：包括远程影像诊断、远程超声诊断、远程病理诊断、远程心电、血压、血糖、胎心监测。

5. **来源**：图片底部注明了来源为“德勤分析”。

这张图片详细展示了互联网医院的服务生态和运营模式，通过图文结合的方式，清晰地描述了各个服务环节和分类。
