这张图片展示了2024年中国医疗大健康产业发展的白皮书，其中包含两个图表，分别展示了全球和中国AI医疗器械市场规模（按出厂价计算）的预测数据。

1. **全球AI医疗器械市场规模（按出厂价计算）**：
   - 时间范围：2016年至2030年
   - 单位：百万美元（左轴）；百分比（右轴）
   - 数据点：
     - 2016年：86.5百万美元，57.5%的同比增长率
     - 2017年：136.2百万美元，52.6%的同比增长率
     - 2018年：207.9百万美元，51.7%的同比增长率
     - 2019年：315.4百万美元，12.7%的同比增长率
     - 2020年：355.5百万美元，88.3%的同比增长率
     - 2021年：669.3百万美元，83.9%的同比增长率
     - 2022年：1,230.8百万美元，214.7%的同比增长率
     - 2023年：3,873.8百万美元，139.6%的同比增长率
     - 2024年：9,281.1百万美元，90.7%的同比增长率
     - 2025年：17,701.9百万美元，63.5%的同比增长率
     - 2026年：28,946.6百万美元，43.2%的同比增长率
     - 2027年：43,650.9百万美元，36.8%的同比增长率
     - 2028年：62,502.7百万美元，33.0%的同比增长率
     - 2029年：85,477.0百万美元，33.0%的同比增长率
     - 2030年：113,677.4百万美元，33.0%的同比增长率

2. **中国AI医疗器械市场规模（按出厂价计算）**：
   - 时间范围：2019年至2030年
   - 单位：百万美元（左轴）；百分比（右轴）
   - 数据点：
     - 2019年：124.7百万美元，134.0%的同比增长率
     - 2020年：291.8百万美元，73.7%的同比增长率
     - 2021年：506.8百万美元，128.0%的同比增长率
     - 2022年：1,155.6百万美元，81.2%的同比增长率
     - 2023年：3,524.5百万美元，20.4%的同比增长率
     - 2024年：9,281.1百万美元，51.1%的同比增长率
     - 2025年：29,970.0百万美元，46.7%的同比增长率
     - 2026年：40,760.0百万美元，36.0%的同比增长率
     - 2027年：53,022.0百万美元，30.1%的同比增长率
     - 2028年：62,987.1百万美元，18.8%的同比增长率
     - 2029年：75,568.8百万美元，20.0%的同比增长率
     - 2030年：75,568.8百万美元，39.2%的同比增长率

3. **文字描述**：
   - 中国AI医疗器械领域在全球市场起步较晚，但随着监管政策的不断完善，医疗器械三类证审批速度的加快，发展迅速。
   - 预计到2030年，中国AI医疗器械市场规模将达到75,568.8百万美元，年复合增长率为39.2%。
   - 随着人工智能技术的发展和底层算法的更新，人工智能医疗分析技术的能力将不断提高，未来人工智能+医疗健康领域有望进一步扩展，AI将更广泛地应用于各大领域。

4. **来源**：
   - 弗若斯特沙利文、头豹研究院
   - 图片底部有多个标志，包括“沙利文”、“头豹”等。

这张图片通过图表和文字详细展示了全球和中国AI医疗器械市场的发展趋势和预测，为相关领域提供了重要的参考信息。
