这张图片展示了一份关于中国互联网医院的研究报告，标题为“中国互联网医院：数字医疗迈向新阶段 | 互联网医院服务生态及运营模式”。图片中包含两个雷达图，分别展示了两种互联网医院类型的成熟度评估。

1. **图4：互联网医院类型的成熟度评估**
   - 左侧雷达图表示“医院+互联网”模式，右侧雷达图表示“互联网+医院”模式。
   - 两个雷达图分别从七个维度进行评估，包括医疗资源、医保支付、平台运营、信息可及性、全流程管理、患者体验和政策监管。
   - 每个维度的成熟度用数字表示，数字越大表示成熟度越高。

2. **文字部分**
   - 文字部分详细描述了两种互联网医院模式的优缺点和运营现状。
   - “医院+互联网”模式主要依赖于实体医院的资源和能力，但在互联网医院平台运营和技术能力方面存在不足。
   - “互联网+医院”模式则更注重互联网平台的运营和创新能力，但需要与实体医院紧密合作，以实现医疗服务的线上延伸和扩展。
   - 文章还提到了政策对互联网医院的支持和监管，以及未来互联网医院的发展方向和目标。

总体来说，这张图片通过图表和文字详细分析了两种互联网医院模式的现状、优缺点和发展趋势，为读者提供了关于中国互联网医院行业的全面认识。
