### 图表描述

这张信息图表由艾瑞咨询公司制作，主题为“医疗科技的发展必然性”，副标题强调“资源分配、人员供给与协作效率问题仍需解决”。图表分为三部分：

1. **医疗资源分配不均**：
   - 左侧图表显示社会资源在健康期较少，疾病期最多，康复及养老阶段再次减少。
   - 右侧图表揭示大城市、大医院医疗资源集中，农村和基层资源匮乏。

2. **医疗人员供给不足**：
   - 中间图表展示2013-2019年门诊人次数从7314万次增至8719万次。
   - 右侧图表显示2014-2020年卫生技术人员从759万增至1066万。

3. **医疗协作效率低**：
   - 右侧图表指出医院端数据未打通、系统不完整；医护端信息分散、系统繁多；患者端跨机构信息对接难。

底部注明数据来源为公开资料及艾瑞咨询研究院，日期为2022年12月。图表揭示了医疗科技行业面临的挑战与机遇。

### 图表类型

**组合图表**

- **柱状图**：用于展示门诊人次数和卫生技术人员数量的年度变化。
- **饼图/环形图**：可能用于展示不同健康阶段的社会资源集中度。
- **流程图/关系图**：用于展示医疗系统内部各环节的协作效率问题。
