### 图表分析报告

#### 1. 图表标题与来源
- **标题**：医疗科技的发展必然性
- **副标题**：资源分配、人员供给与协作效率问题仍需解决
- **来源**：艾瑞咨询公司，2022年12月

#### 2. 主要内容
**图表分为三个部分，分别讨论以下问题：**

**1. 医疗资源分配不均**
   - **左侧图表**：展示不同健康阶段的社会资源集中度，健康期资源少，疾病期资源最多，康复及养老阶段资源减少。
   - **右侧图表**：展示医疗资源在城市集中情况，大城市、大医院资源多，农村和基层资源少。

**2. 医疗人员供给不足**
   - **中间图表**：2013-2019年中国门诊人次数从7314万次增至8719万次。
   - **右侧图表**：2014-2020年中国卫生技术人员从759万人增至1066万人。

**3. 医疗协作效率低**
   - **右侧图表**：展示医院端、医护工作者端和患者端的协作效率问题。
     - **医院端**：数据未完全打通，系统未成完整体系。
     - **医护工作者端**：检测信息分散，系统众多不便于操作。
     - **患者端**：跨机构信息难以对接。

#### 3. 相关背景与前页内容
- **前页标题**：医疗+X模式开启中国医疗产业的增长新范式
- **内容概述**：新冠疫情催化下，医疗行业智能化发展趋势，强调“医疗+X”创新增长范式。
  - **医疗范畴**：医疗保障、医疗服务、公共卫生等。
  - **基础技术**：云计算、大数据、物联网、5G、AI等。
  - **主要应用**：政府统筹与医院管理、产品与服务、服务与用户等。

#### 4. 后页内容
- **标题**：医疗科技的发展基础：经济与政策环境
- **副标题**：卫生费用投入比重逐年增加，医疗科技相关政策利好
- **背景信息**：国民经济向好及政策推动行业发展，2021年卫生费用占GDP比重达6.50%。
- **图表**：2011-2021年中国卫生总费用及增长率。
- **政策发展阶段**：
  - **萌芽期（2011-2015）**：初步规范，制定通用标准。
  - **发展期（2016-2020）**：涉及云计算、大数据等，制定细分领域规则。
  - **纵深期（2021至今）**：深化新场景、新技术应用，推动高质量发展。

#### 5. 数据来源与版权
- **数据来源**：公开资料，艾瑞咨询研究院自主研究及绘制
- **版权信息**：© 2022.12 iResearch Inc., www.iresearch.com.cn

### 总结
图表综合展示了医疗科技发展的必要性及面临的挑战，结合经济与政策环境，揭示了医疗科技发展的坚实基础和未来趋势。
