这是一张来自国盛证券的关于汤臣倍健的图片，图中包含多个图表和文字描述。以下是详细描述：

1. **标题**：图片的标题是“4.8 汤臣倍健：VDS龙头，新产品+新渠道持续发力”。

2. **文字描述**：
   - **VDS行业龙头，业绩扭亏后保持增长势头**：公司经过多年在中国膳食营养补充剂领域（VDS）的运营，目前在国内VDS领域市占率第一，2019年近10%。
   - **产品矩阵丰富，持续布局新赛道**：2017年公司正式启动“大单品”战略，将健力多氨糖软骨素确立为首个大单品项目；2018年公司收购拜耳旗下儿童营养补充剂品牌PentaVite及澳洲益生菌企业LSG；2020年公司提出“4+2+1”多品种全线出击的核心市场策略，持续布局新赛道、推出新品以丰富产品矩阵。
   - **线上、线下双渠道同步推进，创新销售模式**：公司2015年开始线上业务，至今取得良好成绩，双十一期间全网销售额超6亿，居于保健品类目前列；随线下渠道监管收紧，公司于2020年全面升级经销商体系，构建适合多个大单品运营的新销售模式。

3. **图表**：
   - **图1：汤臣倍健营收及归母净利润（亿元，%）**：展示了2017年至2022年上半年公司的营业收入和归母净利润，以及营收增速和利润增速。
   - **图2：汤臣倍健主营业务构成（亿元）**：展示了2017年至2022年上半年公司的主营业务构成，包括片剂、胶囊、粉剂和其他。
   - **图3：汤臣倍健毛利率及净利率水平（%）**：展示了2017年至2022年上半年公司的销售毛利率和销售净利率。
   - **图4：汤臣倍健费用率水平（%）**：展示了2017年至2022年上半年公司的销售费用率、管理费用率、财务费用率和研发费用率。

4. **数据来源**：图片底部注明了数据来源为Wind，国盛证券研究所。

这张图片通过文字和图表详细展示了汤臣倍健在VDS领域的市场地位、产品策略、销售模式以及财务表现。
