这张图片是关于眼科医疗的资料，标题为“3.2.1 眼科医疗：量价齐升，需求刚性保障高景气”。图片中包含了眼科疾病的分类、治疗方法以及相关产品的信息。

1. **眼科疾病分类**：
   - **眼前部疾病**：
     - **虹膜**：前葡萄膜炎，药物治疗包括糖皮质激素和非甾体消炎药。
     - **前房角**：原发性闭角型青光眼，手术治疗为激光手术。
     - **晶状体**：白内障，手术治疗/器械辅助包括人工晶状体。
     - **角膜**：干眼症、结膜炎、角膜炎，药物治疗包括环孢素、人工泪液、抗病毒眼药水。
     - **角膜**：近视，药物治疗包括阿托品，手术治疗包括激光手术，器械辅助包括角膜塑形镜、ICL。
     - **后房角**：原发性开角型青光眼，手术治疗/药物治疗包括前列腺素、α受体激动剂、β受体、碳酸酐酶抑制剂。
     - **睫状体**：老花，器械辅助包括老花镜。

2. **眼科医疗服务及产品价格一览**：
   - **眼前部疾病**：
     - **适应症**：屈光不正（近视、远视、老花），白内障。
     - **治疗方式**：医学视光、屈光手术、白内障手术。
     - **产品**：OK镜、眼镜。
     - **就诊频次**：1.5-2年/次，1.5年/次，1次/年，1-2次/年。
     - **单次费用**：约8000元，500-800元，1-3万元，6000-7000元。
   - **眼后部疾病**：
     - **适应症**：白内障。
     - **产品**：低、中、高端晶状体。
     - **产品价格**：低端34款，占29%，价格299-1099元；中端69款，占58%，价格790-3191元；高端15款，占13%，价格4199-22999元。
     - **适应症**：医学视光。
     - **产品**：OK镜。
     - **外国主流品牌**：欧几里得（Euclid）、荷兰普罗克尼（Dreamlite）、日本阿迩发（ALPHA）、韩国露娜得。
     - **中国主流品牌**：菁视、台湾亨泰、爱博诺德、欧普康视。
     - **单价**：8000元。

3. **数据来源**：动脉网、CHC医疗传媒、群鹰、国盛证券研究所。

这张图片详细介绍了眼科疾病的分类、治疗方法以及相关产品的价格信息，为眼科医疗领域提供了全面的资料。
